award_id,award_name,winner_id,is_player,is_team
1,Trish Crace,349,true,false
2,Boony Bauchop,950,false,true
3,Fitzgerald Patroni,964,true,false
4,Xavier Paulig,364,false,true
5,Norene Korneichuk,568,false,true
6,Thia Hallgarth,613,true,false
7,Marcellina Tidcombe,294,true,false
8,Tate Curnnok,126,false,true
9,Dorry Deetlof,740,true,false
10,Emmanuel Wolfindale,511,true,false
11,Michel Klesl,255,false,true
12,Jervis Bradden,4,false,true
13,Myca Linner,823,false,true
14,Atlanta Btham,572,false,true
15,Aldridge Schrir,631,true,false
16,Levy McGregor,969,true,false
17,Ariella Boylin,933,false,true
18,Tedra Maber,911,false,true
19,Lorilee Himsworth,208,true,false
20,Loretta Gatrell,636,false,true
21,Denni Faircley,921,false,true
22,Prisca Petrie,352,false,true
23,Winny Rings,982,true,false
24,Bamby Shrimpling,479,true,false
25,Ardella Pickerin,495,false,true
26,Gladys McCracken,541,false,true
27,Carlen Rollinshaw,148,true,false
28,Angele Mebes,511,true,false
29,Hermione McGiff,492,false,true
30,Brigham Vasechkin,79,false,true
31,Camellia Gurr,943,false,true
32,Estele Beagrie,282,true,false
33,Lionel Ezzell,183,false,true
34,Jyoti Orrom,303,true,false
35,Bernardina Berwick,304,true,false
36,Buiron Cotta,508,true,false
37,Bobina Tutsell,337,true,false
38,Nicolas Cowlam,441,false,true
39,Etta Rizzolo,486,false,true
40,Lucien Burkitt,349,true,false
41,Kalle Willgress,344,false,true
42,Myriam Boot,508,false,true
43,Lilian Cirlos,237,true,false
44,Derk Mohammed,611,true,false
45,Martyn Duce,339,false,true
46,Gene Bakesef,917,false,true
47,Jerrilyn Tozer,232,true,false
48,Justine Samwyse,755,true,false
49,Cristy Kraut,923,false,true
50,Wallis Eefting,293,true,false
51,Eldin Mell,219,false,true
52,Gareth Toohey,551,true,false
53,Rodina Hugh,26,false,true
54,Leeanne Tansley,634,true,false
55,Carissa Vlahos,620,true,false
56,Renata Dran,998,true,false
57,Eartha Matresse,674,true,false
58,Bella Rippin,649,true,false
59,Scotti Edwards,481,false,true
60,Harley Dalmon,452,false,true
61,Kate O' Scallan,569,false,true
62,Muhammad Plevin,469,false,true
63,Harwilll Landy,972,true,false
64,Gery Tithecote,558,false,true
65,Lissa Goldsbury,835,true,false
66,Amory Woodham,586,false,true
67,Briano Eastes,242,false,true
68,Lowe Bollini,650,false,true
69,Errol Turnbull,737,false,true
70,Danette Kiloh,549,false,true
71,Abra Blackden,533,false,true
72,Trefor Hardman,194,true,false
73,Isaak Chinge de Hals,496,true,false
74,Rouvin Reding,724,true,false
75,Devin Siddons,267,true,false
76,Briny McGennis,249,true,false
77,Siegfried Etty,678,true,false
78,Roddy Paute,343,true,false
79,Maudie Shoute,805,true,false
80,Conny Bartolommeo,496,true,false
81,Robena Sidnall,48,false,true
82,Anne-marie Klazenga,977,false,true
83,Heidie Lorens,602,false,true
84,Ramsey Fold,694,false,true
85,Laney Garr,227,false,true
86,Jorey Scarlon,230,false,true
87,Amye Skaife d'Ingerthorpe,209,true,false
88,Alessandra Balmforth,922,true,false
89,Erick Bignal,960,true,false
90,Sallie McFarlane,995,false,true
91,Bentlee Bassilashvili,314,false,true
92,Perice Welldrake,6,true,false
93,Jilli de Vaen,448,false,true
94,Christabella Hanbury-Brown,136,true,false
95,Oliy Jedraszczyk,508,false,true
96,Thoma Barhems,244,true,false
97,Garvey Semonin,384,true,false
98,Lani Joannet,909,false,true
99,Lexie Baldoni,646,false,true
100,Steffi Mirando,448,true,false
101,Filip Vesque,318,true,false
