gameID,locationID,homeTeamID,awayTeamID,gameDate
1,96,434,176,23-02-2001 15:00:00
2,396,334,453,24-05-1963 18:00:00
3,327,233,176,02-08-1997 15:00:00
4,200,106,125,25-03-1993 15:00:00
5,319,111,188,03-07-1998 12:00:00
6,301,226,153,18-02-2022 16:00:00
7,113,367,189,07-08-1994 17:00:00
8,222,69,92,10-04-1995 21:00:00
9,95,356,10,08-07-1995 17:00:00
10,264,401,482,19-02-2018 21:00:00
11,459,341,430,24-04-1974 21:00:00
12,135,1,199,01-10-2018 17:00:00
13,262,155,485,06-04-1978 16:00:00
14,465,260,152,27-05-1981 20:00:00
15,338,436,341,04-04-1966 21:00:00
16,314,243,323,10-01-1981 22:00:00
17,335,387,61,31-12-1965 16:00:00
18,115,389,443,29-04-1976 12:00:00
19,443,464,384,25-07-2001 19:00:00
20,345,48,343,17-08-1979 20:00:00
21,11,62,166,12-12-1952 22:00:00
22,427,9,380,22-06-1973 20:00:00
23,252,195,116,13-04-1997 13:00:00
24,403,414,488,04-01-1958 15:00:00
25,230,347,266,26-07-1963 19:00:00
26,391,295,119,17-05-2005 22:00:00
27,354,204,378,08-01-1976 12:00:00
28,449,489,206,09-06-1959 16:00:00
29,260,158,277,19-07-1976 18:00:00
30,475,498,49,28-11-1953 16:00:00
31,377,210,133,20-01-2009 20:00:00
32,188,303,95,25-04-1961 20:00:00
33,216,244,308,17-10-1998 16:00:00
34,186,358,336,12-04-1989 13:00:00
35,434,347,493,05-10-1965 18:00:00
36,11,316,213,19-09-2004 12:00:00
37,351,431,6,07-11-2010 16:00:00
38,220,267,160,27-03-1966 14:00:00
39,363,232,85,07-05-1947 20:00:00
40,144,286,240,23-02-2004 22:00:00
41,474,272,431,11-04-1981 12:00:00
42,42,356,309,04-08-1959 21:00:00
43,254,252,213,15-08-1991 14:00:00
44,287,450,229,16-09-1959 19:00:00
45,263,105,408,05-12-1972 17:00:00
46,10,192,318,20-10-1950 21:00:00
47,184,382,56,11-11-2008 16:00:00
48,228,414,244,24-10-2015 12:00:00
49,344,241,224,02-05-2020 19:00:00
50,407,281,270,07-12-1958 15:00:00
51,434,112,274,25-03-1986 19:00:00
52,355,170,237,26-07-1968 13:00:00
53,492,125,229,02-09-1996 20:00:00
54,121,488,327,11-02-2013 20:00:00
55,452,72,477,22-11-2019 19:00:00
56,375,475,188,08-04-2020 18:00:00
57,48,347,135,30-03-1997 15:00:00
58,364,423,149,19-02-1953 20:00:00
59,272,420,170,15-02-1973 21:00:00
60,156,370,273,05-03-2013 20:00:00
61,26,218,21,10-08-1991 22:00:00
62,309,468,349,12-12-1988 13:00:00
63,157,418,95,09-01-1985 20:00:00
64,11,247,116,15-06-1964 16:00:00
65,445,437,111,24-11-1980 21:00:00
66,464,422,437,28-09-1989 14:00:00
67,286,4,421,23-10-1948 12:00:00
68,360,355,460,02-04-1994 20:00:00
69,467,113,241,17-03-1973 12:00:00
70,36,161,267,28-11-1973 12:00:00
71,224,130,228,01-01-1996 13:00:00
72,421,130,79,09-12-1991 13:00:00
73,304,200,357,21-10-1999 16:00:00
74,189,391,433,20-02-1991 15:00:00
75,407,228,358,02-03-1959 22:00:00
76,102,441,137,15-06-1956 21:00:00
77,247,13,284,18-04-1966 12:00:00
78,365,417,430,25-02-2018 21:00:00
79,399,414,45,24-08-2012 14:00:00
80,378,51,62,29-08-1966 13:00:00
81,2,38,352,30-01-1992 19:00:00
82,289,332,124,28-12-1993 13:00:00
83,58,30,131,23-09-1971 15:00:00
84,381,482,346,17-03-1967 15:00:00
85,19,263,96,10-01-1961 19:00:00
86,83,295,14,19-02-2020 12:00:00
87,82,205,123,18-03-2007 14:00:00
88,308,436,157,13-07-2011 13:00:00
89,258,245,97,21-01-1952 14:00:00
90,317,35,106,21-09-1980 12:00:00
91,460,397,107,26-05-2008 20:00:00
92,442,361,327,20-09-1992 12:00:00
93,90,346,2,01-09-1994 21:00:00
94,429,273,40,09-09-1957 22:00:00
95,96,344,407,08-12-2007 18:00:00
96,7,79,327,11-03-1967 17:00:00
97,305,6,128,23-12-2010 19:00:00
98,497,447,332,11-07-1969 20:00:00
99,437,207,444,11-07-1985 20:00:00
100,219,472,91,13-05-1957 13:00:00
101,295,3,382,27-12-1948 22:00:00
102,187,328,205,27-02-2008 19:00:00
103,355,465,239,24-11-1959 18:00:00
104,475,148,309,17-04-2011 14:00:00
105,486,23,454,20-10-1994 14:00:00
106,295,71,297,16-01-1953 18:00:00
107,150,497,498,08-02-2007 16:00:00
108,338,62,284,21-10-1967 18:00:00
109,80,1,127,09-06-2001 21:00:00
110,50,244,298,22-09-2020 20:00:00
111,405,452,252,25-07-1957 19:00:00
112,354,124,68,13-04-2021 22:00:00
113,245,379,392,14-05-1985 13:00:00
114,65,378,361,26-08-1949 16:00:00
115,267,448,436,14-04-2006 16:00:00
116,291,364,81,17-12-2018 19:00:00
117,40,460,264,11-07-2018 17:00:00
118,494,369,292,07-12-1999 12:00:00
119,386,285,278,24-12-1967 19:00:00
120,64,245,382,17-04-2009 18:00:00
121,300,10,419,07-02-1962 13:00:00
122,408,399,44,15-10-1999 14:00:00
123,93,345,51,20-02-1967 14:00:00
124,374,119,320,16-07-1966 19:00:00
125,443,251,218,03-05-1963 20:00:00
126,216,240,85,16-10-2013 20:00:00
127,225,183,344,16-11-1953 12:00:00
128,85,29,150,09-10-1955 14:00:00
129,79,12,490,23-06-2008 21:00:00
130,478,247,491,10-04-1958 16:00:00
131,416,283,8,01-07-2007 20:00:00
132,144,13,231,05-02-1950 18:00:00
133,229,244,112,21-01-1984 22:00:00
134,396,414,210,30-07-2005 20:00:00
135,138,125,111,03-08-1985 13:00:00
136,224,356,22,03-09-1986 15:00:00
137,258,113,66,16-05-2000 20:00:00
138,194,115,396,05-12-2023 20:00:00
139,56,229,245,03-11-1993 18:00:00
140,64,254,120,21-07-2005 20:00:00
141,392,456,483,03-03-2012 18:00:00
142,181,31,28,16-04-1979 18:00:00
143,5,283,333,19-10-1975 22:00:00
144,250,48,93,05-10-2005 22:00:00
145,389,339,467,18-12-1960 20:00:00
146,379,185,355,09-02-1973 18:00:00
147,463,464,105,14-04-1965 15:00:00
148,397,322,48,25-09-2008 20:00:00
149,279,79,151,14-10-1946 15:00:00
150,185,468,52,24-03-1997 13:00:00
151,352,485,483,06-11-1996 18:00:00
152,374,429,154,31-08-1981 19:00:00
153,246,115,418,06-05-2007 22:00:00
154,199,374,39,13-05-1949 18:00:00
155,475,307,464,08-01-2014 18:00:00
156,222,81,15,22-01-1972 13:00:00
157,7,436,239,09-01-2007 12:00:00
158,282,352,134,31-07-1982 14:00:00
159,33,113,294,13-08-1985 19:00:00
160,209,354,54,19-04-1950 18:00:00
161,219,439,305,26-04-2019 16:00:00
162,460,464,332,14-10-2010 16:00:00
163,313,255,433,05-02-1978 21:00:00
164,286,362,317,29-06-1978 21:00:00
165,10,101,256,10-08-1989 19:00:00
166,410,153,6,02-11-1996 12:00:00
167,427,19,338,15-06-2009 15:00:00
168,183,330,196,13-07-1996 18:00:00
169,243,497,293,22-10-2018 16:00:00
170,458,384,148,18-04-2000 17:00:00
171,188,285,161,02-11-1971 14:00:00
172,269,9,185,10-03-2020 20:00:00
173,210,346,119,29-11-2010 16:00:00
174,163,357,219,05-11-1957 21:00:00
175,436,397,252,19-02-1980 21:00:00
176,139,464,222,29-08-1954 16:00:00
177,129,51,190,30-11-1949 18:00:00
178,308,461,43,10-10-1969 13:00:00
179,475,68,485,26-06-2003 15:00:00
180,165,196,117,22-08-1991 18:00:00
181,48,71,269,13-12-2012 19:00:00
182,251,361,493,09-01-2010 14:00:00
183,227,321,265,20-06-1982 18:00:00
184,321,37,169,14-06-2009 17:00:00
185,208,289,59,17-08-1976 14:00:00
186,430,152,206,10-04-2021 18:00:00
187,362,90,169,03-04-1978 22:00:00
188,29,216,279,27-02-1976 17:00:00
189,389,399,10,07-01-1988 15:00:00
190,77,231,393,11-07-1952 12:00:00
191,438,394,433,09-11-2001 20:00:00
192,72,295,146,22-05-1998 21:00:00
193,367,418,423,30-09-1949 20:00:00
194,272,308,491,27-06-1950 15:00:00
195,173,300,384,18-04-2013 20:00:00
196,91,431,71,10-01-2014 17:00:00
197,315,489,392,24-02-1989 21:00:00
198,404,143,318,13-09-2013 17:00:00
199,415,190,416,25-01-1978 15:00:00
200,143,292,171,23-08-1995 16:00:00
201,443,144,1,15-09-1957 19:00:00
202,393,228,163,14-04-1997 17:00:00
203,287,6,123,22-07-2002 19:00:00
204,480,161,315,25-02-1958 21:00:00
205,338,83,29,16-09-1955 19:00:00
206,406,301,186,09-05-1994 14:00:00
207,26,412,260,20-01-1996 14:00:00
208,42,150,273,17-07-1974 20:00:00
209,311,25,396,09-09-1962 22:00:00
210,189,102,162,03-03-1968 14:00:00
211,171,416,412,24-03-1973 21:00:00
212,348,217,218,11-06-1986 20:00:00
213,209,292,398,04-03-1946 16:00:00
214,44,336,349,08-04-1973 19:00:00
215,360,197,443,25-05-1967 22:00:00
216,110,292,407,10-02-1975 19:00:00
217,67,439,381,06-09-1999 14:00:00
218,5,300,73,24-09-1961 16:00:00
219,255,250,465,26-08-1946 14:00:00
220,68,302,11,30-08-1950 21:00:00
221,309,443,497,01-10-1957 16:00:00
222,46,83,453,04-08-2001 13:00:00
223,222,450,193,19-11-1999 22:00:00
224,144,286,73,24-09-2009 20:00:00
225,360,239,451,01-11-1993 12:00:00
226,312,443,426,05-06-2010 14:00:00
227,85,151,24,12-03-1974 16:00:00
228,467,234,147,18-12-1955 12:00:00
229,339,464,266,07-01-2014 22:00:00
230,469,366,485,28-02-1950 14:00:00
231,227,397,210,01-02-1982 17:00:00
232,47,13,212,01-12-1989 16:00:00
233,288,200,93,19-03-2000 19:00:00
234,163,66,122,19-08-1996 21:00:00
235,255,225,272,29-08-1969 17:00:00
236,84,2,484,02-07-2018 21:00:00
237,116,473,148,18-08-1983 12:00:00
238,95,221,132,20-10-1963 12:00:00
239,199,257,173,07-07-1963 12:00:00
240,122,115,159,01-03-1949 21:00:00
241,457,57,56,25-11-2012 21:00:00
242,237,119,332,29-06-1978 14:00:00
243,457,141,75,31-10-1947 16:00:00
244,7,164,93,16-10-1959 17:00:00
245,457,179,470,31-10-2023 20:00:00
246,87,26,339,26-03-2013 16:00:00
247,222,284,373,15-09-2005 13:00:00
248,328,231,120,03-02-1990 19:00:00
249,171,143,131,15-12-1997 19:00:00
250,356,289,71,20-08-1975 14:00:00
251,447,97,213,11-04-2005 20:00:00
252,183,294,63,23-01-1987 22:00:00
253,216,135,486,14-09-1953 12:00:00
254,363,103,309,29-01-1983 19:00:00
255,271,295,216,19-09-1981 22:00:00
256,443,304,297,22-12-1978 15:00:00
257,377,298,445,05-08-2008 19:00:00
258,427,87,210,09-04-1986 17:00:00
259,475,6,70,12-06-2020 22:00:00
260,444,40,35,02-03-1992 19:00:00
261,68,356,436,23-06-2002 13:00:00
262,237,463,267,13-11-1982 22:00:00
263,491,391,136,19-02-1956 12:00:00
264,330,474,16,03-01-2015 14:00:00
265,234,35,392,03-05-1973 17:00:00
266,405,224,130,30-12-1999 18:00:00
267,432,417,181,28-08-1988 13:00:00
268,418,491,392,03-11-1982 21:00:00
269,364,420,262,04-06-2016 13:00:00
270,284,363,311,05-05-1953 16:00:00
271,405,254,456,05-12-1963 17:00:00
272,249,283,366,05-10-1955 19:00:00
273,78,219,286,23-12-2004 18:00:00
274,30,384,36,08-04-1963 18:00:00
275,174,342,171,03-10-1968 20:00:00
276,223,86,230,29-10-1951 18:00:00
277,463,317,261,13-05-1958 13:00:00
278,441,59,474,27-11-1999 12:00:00
279,33,428,355,27-08-1982 22:00:00
280,452,279,480,22-09-2006 17:00:00
281,432,227,50,09-02-1952 17:00:00
282,342,14,380,09-04-2012 18:00:00
283,310,341,178,12-11-2023 19:00:00
284,124,136,406,17-03-1957 16:00:00
285,326,402,326,05-09-2008 17:00:00
286,497,196,229,17-08-1997 12:00:00
287,229,279,248,08-03-1999 12:00:00
288,88,127,442,05-01-1982 22:00:00
289,429,203,342,13-09-1997 18:00:00
290,195,77,128,13-08-1967 20:00:00
291,208,66,423,13-05-1960 19:00:00
292,358,382,169,27-12-1992 16:00:00
293,460,398,115,11-03-1978 22:00:00
294,131,320,102,20-06-1990 14:00:00
295,492,438,83,18-01-1986 21:00:00
296,468,360,307,26-07-1977 20:00:00
297,431,82,155,19-09-1996 19:00:00
298,19,332,347,28-10-1977 18:00:00
299,417,34,181,01-03-1956 20:00:00
300,436,232,177,17-09-2008 19:00:00
301,72,496,412,22-05-1953 20:00:00
302,134,430,25,20-06-2003 12:00:00
303,416,177,491,15-04-1970 12:00:00
